repo,package,release_tag,release_name,release_date_utc,asset_original_name,saved_filename,download_url,content_type,size_bytes
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.5.1,v9.5.1,2024-12-07T08:41:47+00:00,PersianCalendar-9.5.1-main-9715-31e76e2a2-release.apk,v9.5.1.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.5.1/PersianCalendar-9.5.1-main-9715-31e76e2a2-release.apk,application/vnd.android.package-archive,3009598
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.4.0,v9.4.0,2024-11-08T07:51:19+00:00,PersianCalendar-9.4.0-main-9570-dea699241-release.apk,v9.4.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.4.0/PersianCalendar-9.4.0-main-9570-dea699241-release.apk,application/vnd.android.package-archive,2983092
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.3.0,v9.3.0,2024-10-23T12:30:36+00:00,PersianCalendar-9.3.0-main-9459-dd4782782-release.apk,v9.3.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.3.0/PersianCalendar-9.3.0-main-9459-dd4782782-release.apk,application/vnd.android.package-archive,2969244
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.2.0,v9.2.0,2024-08-22T11:17:18+00:00,PersianCalendar-9.2.0-main-9268-e966aa53a-release.apk,v9.2.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.2.0/PersianCalendar-9.2.0-main-9268-e966aa53a-release.apk,application/vnd.android.package-archive,2976770
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.1.5,v9.1.5,2024-04-27T18:39:23+00:00,PersianCalendar-9.1.5-main-9024-0b6251e2e-release.apk,v9.1.5.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.1.5/PersianCalendar-9.1.5-main-9024-0b6251e2e-release.apk,application/vnd.android.package-archive,2844821
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.1.2,v9.1.2,2024-03-22T10:20:55+00:00,PersianCalendar-9.1.2-main-8865-959241211-release.apk,v9.1.2.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.1.2/PersianCalendar-9.1.2-main-8865-959241211-release.apk,application/vnd.android.package-archive,2834946
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.1.1,v9.1.1,2024-02-16T06:42:03+00:00,PersianCalendar-9.1.1-main-8777-76449c02c-release.apk,v9.1.1.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.1.1/PersianCalendar-9.1.1-main-8777-76449c02c-release.apk,application/vnd.android.package-archive,2890138
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.1.0,v9.1.0,2024-01-30T09:50:46+00:00,PersianCalendar-9.1.0-main-8685-82b537833-release.apk,v9.1.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.1.0/PersianCalendar-9.1.0-main-8685-82b537833-release.apk,application/vnd.android.package-archive,2882810
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v9.0.0,v9.0.0,2024-01-09T07:46:08+00:00,PersianCalendar-9.0.0-main-8557-7926c2385-release.apk,v9.0.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v9.0.0/PersianCalendar-9.0.0-main-8557-7926c2385-release.apk,application/vnd.android.package-archive,2872514
persian-calendar/persian-calendar,com.byagowi.persiancalendar,v8.4.0,v8.4.0,2023-11-08T19:48:00+00:00,PersianCalendar-8.4.0-main-7751-79d271919-minApi17-release.apk,v8.4.0.apk,https://github.com/persian-calendar/persian-calendar/releases/download/v8.4.0/PersianCalendar-8.4.0-main-7751-79d271919-minApi17-release.apk,application/vnd.android.package-archive,3853720
